2020-04-17 14:30:01.363 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:30:01.363 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:30:01.363 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:30:01.364 [Thread-2] INFO  ServerWorker - New command ADD from /127.0.0.1:65309.
2020-04-17 14:30:01.364 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:30:01.364 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:30:01.364 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:30:01.366 [Thread-2] INFO  ServerWorker - New command ADD from /127.0.0.1:65309.
2020-04-17 14:30:01.366 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:30:01.366 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:30:01.366 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:30:01.368 [Thread-2] INFO  ServerWorker - New command INFO from /127.0.0.1:65309.
2020-04-17 14:30:01.368 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:30:01.368 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:30:01.368 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:30:01.369 [Thread-2] INFO  ServerWorker - New command INFO from /127.0.0.1:65309.
2020-04-17 14:30:01.369 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:30:01.369 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:30:01.369 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:30:01.372 [Thread-2] INFO  ServerWorker - New command ADD_IF_MIN from /127.0.0.1:65309.
2020-04-17 14:30:01.372 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:30:01.372 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:30:01.372 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:30:01.373 [Thread-2] INFO  ServerWorker - New command INFO from /127.0.0.1:65309.
